epoch,time,train/total_loss,train/genus_loss,train/species_loss,train/genus_top1,train/species_top1,train/grad_norm,val/total_loss,val/genus_loss,val/species_loss,val/genus_top1,metrics/species_top1,lr/pg0
32,695.8,2.034167,1.846551,2.114574,72.8073,70.8742,8.300532,1.872031,1.678402,1.955015,78.3468,76.1574,3.16e-06
33,706.0,1.995467,1.820464,2.070468,72.8914,71.5158,8.10674,1.836476,1.649961,1.91641,78.5307,76.2834,2.87e-06
34,707.2,1.949815,1.780014,2.022587,73.9788,72.3652,7.906088,1.801211,1.588535,1.892358,79.2631,76.0712,2.59e-06
35,688.7,1.92436,1.758811,1.99531,74.5567,72.871,7.796147,1.790241,1.587737,1.877029,79.485,76.6698,2.32e-06
36,686.9,1.899992,1.736865,1.969904,74.8474,72.9876,7.691036,1.756063,1.559605,1.840259,80.4886,76.5733,2.06e-06
37,685.0,1.879768,1.717535,1.949297,75.453,73.4153,7.590179,1.742451,1.563766,1.81903,79.6971,77.2859,1.81e-06
38,684.6,1.842766,1.692436,1.907193,75.8602,74.4305,7.408173,1.725993,1.54904,1.80183,80.5465,77.6138,1.58e-06
39,691.5,1.820783,1.675927,1.882865,76.2844,74.8871,7.311044,1.713752,1.538202,1.788987,80.2957,77.7977,1.36e-06
40,716.7,1.801614,1.659189,1.862654,76.5631,75.3076,7.212259,1.684681,1.517785,1.756207,80.7298,78.7326,1.15e-06
41,712.6,1.780202,1.642417,1.839253,77.0269,75.9227,7.088515,1.670251,1.509093,1.739318,80.9709,78.9647,9.5e-07
42,688.4,1.765623,1.630505,1.823531,77.2804,76.1582,7.030112,1.668852,1.503094,1.739891,81.1246,78.5789,7.8e-07
43,685.3,1.753567,1.618176,1.811592,77.6672,76.1642,6.990162,1.658496,1.498285,1.727158,81.0667,78.4529,6.2e-07
44,685.4,1.743367,1.606046,1.802218,77.9676,76.7145,6.937079,1.66065,1.503088,1.728177,81.1734,78.7429,4.8e-07
45,684.6,1.732534,1.597735,1.790304,78.143,76.8515,6.889857,1.644813,1.487173,1.712374,80.9799,78.6362,3.5e-07
46,685.7,1.724847,1.592474,1.781578,78.3809,77.2263,6.830147,1.651806,1.492234,1.720194,81.5399,79.2535,2.4e-07
47,689.0,1.716236,1.588735,1.770879,78.5095,77.481,6.782543,1.627935,1.475443,1.693288,81.5394,79.3885,1.6e-07
48,687.5,1.714838,1.582701,1.771468,78.602,77.2732,6.784078,1.62989,1.476742,1.695524,81.4815,79.2728,9e-08
49,686.4,1.710175,1.580058,1.76594,78.6152,77.5663,6.760064,1.625276,1.472847,1.690603,81.6262,79.7357,4e-08
50,715.7,1.711231,1.582719,1.766308,78.5083,77.5243,6.751918,1.629735,1.477368,1.695035,81.5104,79.2438,1e-08
