epoch,time,train/total_loss,train/genus_loss,train/species_loss,train/genus_top1,train/species_top1,train/grad_norm,val/total_loss,val/genus_loss,val/species_loss,val/genus_top1,metrics/species_top1,lr/pg0
1,626.5,3.563263,3.192085,3.72234,42.0716,37.9842,5.930258,3.082369,2.773992,3.214531,53.2352,48.4796,1e-05
2,635.2,3.698914,3.333735,3.85542,45.8441,42.5341,5.912771,3.116946,2.729103,3.283164,57.1578,52.3671,9.99e-06
3,672.5,3.887843,3.501421,4.053452,46.4112,43.7212,5.945313,3.17095,2.789151,3.334578,58.6715,54.5367,9.96e-06
4,645.1,4.019434,3.629014,4.186757,46.4557,44.3303,5.974913,3.375375,2.956122,3.555056,57.5328,53.8013,9.91e-06
5,660.9,4.121285,3.709503,4.297762,46.8426,44.9443,5.986378,3.446772,3.10158,3.594711,55.8648,53.8212,9.84e-06
6,715.7,3.500136,3.169251,3.641943,51.1618,49.5074,15.427499,2.906493,2.519284,3.07244,62.0093,59.56,9.76e-06
7,696.5,3.497698,3.134322,3.653431,51.7181,49.6768,13.258903,2.953047,2.547395,3.126898,63.8509,59.9151,9.65e-06
8,695.1,3.41348,3.048267,3.569999,53.5695,51.3408,12.778957,2.805151,2.516769,2.928743,64.7762,62.2685,9.52e-06
9,688.4,3.338112,2.972913,3.494626,55.2288,52.7465,12.497087,2.764544,2.446105,2.901017,67.0525,63.6773,9.38e-06
10,700.2,3.247909,2.894212,3.399494,56.5792,54.312,12.241966,2.736592,2.406815,2.877925,67.8939,63.5043,9.22e-06
11,702.1,3.169211,2.827081,3.315838,57.7134,55.5856,12.002671,2.825073,2.400174,3.007173,68.0266,62.1914,9.05e-06
12,688.5,3.108531,2.779878,3.249383,58.7478,56.5203,11.857939,2.653763,2.275976,2.815672,69.5614,66.4551,8.85e-06
13,693.5,3.049178,2.725813,3.187763,59.4699,57.21,11.708329,2.50838,2.260409,2.614654,69.5999,67.0241,8.64e-06
14,686.8,2.967709,2.640707,3.107853,60.3518,58.1735,11.496783,2.522826,2.238552,2.644658,70.9298,68.8181,8.42e-06
15,685.4,2.913778,2.60075,3.047932,61.4884,59.1419,11.352666,2.593482,2.215767,2.755359,72.2126,66.947,8.19e-06
16,682.5,2.844638,2.543196,2.973827,62.2153,60.0382,11.175573,2.45382,2.123315,2.595466,70.3335,67.044,7.94e-06
17,688.0,2.787861,2.482703,2.918643,63.1548,60.5524,11.039605,2.3621,2.118738,2.466398,71.1239,69.8308,7.68e-06
18,686.9,2.730961,2.446136,2.853029,63.4768,61.4499,10.883487,2.346804,2.06721,2.466629,72.4838,69.7645,7.41e-06
19,686.3,2.677146,2.39841,2.796604,64.1424,62.2357,10.695626,2.341471,2.089474,2.44947,73.0233,69.8013,7.13e-06
20,685.5,2.614818,2.334584,2.734919,65.0291,62.9686,10.516138,2.297798,2.032886,2.411331,73.766,70.1105,6.84e-06
21,685.7,2.557051,2.287538,2.672556,65.798,63.5008,10.318771,2.283109,1.990069,2.408697,73.6117,71.2583,6.55e-06
22,685.5,2.514024,2.251622,2.626482,66.0611,63.9754,10.193871,2.20217,1.972783,2.300479,73.9776,72.2523,6.24e-06
23,724.0,2.447263,2.192982,2.55624,67.0872,64.9306,9.922264,2.187221,1.939334,2.293459,74.1053,71.4325,5.94e-06
24,686.2,2.390985,2.149646,2.494416,67.4933,65.5649,9.734012,2.107228,1.908149,2.192548,74.2959,73.6889,5.63e-06
25,688.1,2.34593,2.099773,2.451425,68.4388,66.0972,9.566543,2.086285,1.83071,2.195817,76.1393,73.2838,5.31e-06
26,688.1,2.288795,2.064068,2.385106,69.0287,66.9502,9.358204,2.050474,1.855279,2.134129,74.7612,73.3808,5e-06
27,685.4,2.246814,2.017948,2.3449,69.7184,67.4933,9.175461,2.004717,1.756877,2.110934,77.6042,74.0355,4.69e-06
28,683.3,2.193013,1.978845,2.284799,70.2939,68.2502,8.988337,1.946517,1.745151,2.032817,77.3931,74.8366,4.37e-06
29,687.9,2.154325,1.946729,2.243294,70.9295,69.0191,8.795845,1.933787,1.70988,2.029746,77.3341,74.3453,4.06e-06
30,689.3,2.112113,1.914152,2.196953,71.3271,69.5586,8.603582,1.933927,1.729181,2.021676,76.9387,74.7986,3.76e-06
31,687.0,2.065949,1.875754,2.147461,72.1009,70.265,8.445239,1.874953,1.659152,1.967438,78.4336,75.4919,3.45e-06
