epoch,time,train/total_loss,train/genus_loss,train/species_loss,train/genus_top1,train/species_top1,train/grad_norm,val/total_loss,val/genus_loss,val/species_loss,val/genus_top1,metrics/species_top1,lr/pg0
1,684.8,3.45972,3.05165,3.634607,45.1437,40.3619,4.657619,3.141824,2.753904,3.308076,55.2004,50.6106,0.001
2,679.3,3.282303,2.917473,3.438659,51.115,47.7473,4.453739,3.21534,2.77136,3.405617,54.9213,50.6304,0.00099901
3,655.9,3.27827,2.922181,3.430879,52.934,50.1069,4.387581,3.142433,2.791536,3.292818,58.0843,54.1865,0.00099606
4,658.0,3.270991,2.916023,3.42312,53.769,51.2039,4.351036,3.441208,2.999574,3.630479,54.8646,51.0724,0.00099114
5,658.5,3.265438,2.917775,3.414437,54.5295,52.3032,4.317362,3.398443,2.954009,3.588915,54.6746,51.8974,0.00098429
6,662.3,3.250134,2.910414,3.395728,55.1699,53.1683,4.291526,3.357564,2.918208,3.545859,56.2082,51.8384,0.00097553
7,658.0,3.230429,2.899652,3.372191,55.7298,53.9096,4.255521,3.407529,2.9743,3.593199,57.5641,53.7537,0.00096489
